Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
CN1,X6511FRS-04-C85D30,HDR-SMD_4P-P2.54-H-F,15.35,35.8775,0.0,top
D1,LED1,LED-SMD_3P-L3.5-W3.5-R-RD-C,7.75,62.05,90.0,top
D2,LED2,LED-SMD_3P-L3.5-W3.5-R-RD-C,7.75,54.05,90.0,top
D3,LED3,LED-SMD_3P-L3.5-W3.5-R-RD-C,7.75,46.05,90.0,top
R1,5.1 1/3 W,R_0603_1608Metric,6.5375,39.55,90.0,top
R2,5.1 1/3 W,R_0603_1608Metric,0.65,28.9,0.0,top
R3,5.1 1/3 W,R_0603_1608Metric,-2.3,29.725,90.0,top
R4,5.1 1/3 W,R_0603_1608Metric,-1.5,32.35,0.0,top
R5,5.1 1/3 W,R_0603_1608Metric,19.15,39.3,180.0,top
R6,5.1 1/3 W,R_0603_1608Metric,0.65,30.7,180.0,top
R9,5.1 1/3 W,R_0603_1608Metric,-1.290893,39.15,180.0,top
SW2,SW_DIP_x04,SW-SMD_8P-L6.7-W5.4-P1.27-LS8.5,6.011776,31.473463,180.0,top
U1,BCR421U,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL,-1.290893,36.0,180.0,top
U2,BCR421U,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL,3.2875,39.55,90.0,top
U3,BCR421U,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL,9.7875,39.55,90.0,top
